sunday,asset,tz,price_09,max_offset_min,price_12,pct_12,price_13,pct_13,price_14,pct_14,price_15,pct_15,price_16,pct_16,price_17,pct_17,price_18,pct_18,price_19,pct_19,price_20,pct_20,price_21,pct_21,price_22,pct_22,price_23,pct_23,price_24,pct_24
2025-08-24,BTC,EDT,114627.0000,0,114368.0000,-0.2260,114233.0000,-0.3437,114384.0000,-0.2120,114590.0000,-0.0323,112559.0000,-1.8041,112769.0000,-1.6209,112984.0000,-1.4333,113451.0000,-1.0259,113491.0000,-0.9910,112632.0000,-1.7404,113076.0000,-1.3531,113381.0000,-1.0870,112897.0000,-1.5092
2025-08-24,SOL,EDT,204.3700,0,205.6200,0.6116,206.6100,1.0961,209.3500,2.4368,211.2300,3.3567,205.0100,0.3132,203.6400,-0.3572,204.4100,0.0196,205.0900,0.3523,205.9900,0.7927,203.4900,-0.4306,206.9500,1.2624,212.5500,4.0025,209.2400,2.3829
2025-08-31,BTC,EDT,108329.0000,0,108810.0000,0.4440,108935.0000,0.5594,109010.0000,0.6286,109160.0000,0.7671,108946.0000,0.5696,109129.0000,0.7385,109054.0000,0.6693,108909.0000,0.5354,108268.0000,-0.0563,108245.0000,-0.0775,108164.0000,-0.1523,107637.0000,-0.6388,107654.0000,-0.6231
2025-08-31,SOL,EDT,203.3800,0,204.5800,0.5900,205.1200,0.8555,204.9500,0.7720,205.6700,1.1260,204.6100,0.6048,204.8300,0.7130,205.3800,0.9834,203.7400,0.1770,200.6200,-1.3571,200.4400,-1.4456,200.9700,-1.1850,197.5300,-2.8764,198.4100,-2.4437
2025-09-07,BTC,EDT,111136.0000,0,111332.0000,0.1764,111207.0000,0.0639,110979.0000,-0.1413,111060.0000,-0.0684,111266.0000,0.1170,111333.0000,0.1773,111062.0000,-0.0666,111258.0000,0.1098,111144.0000,0.0072,110835.0000,-0.2708,110888.0000,-0.2232,111250.0000,0.1026,111024.0000,-0.1008
2025-09-07,SOL,EDT,203.7800,0,205.2000,0.6968,203.4600,-0.1570,201.9700,-0.8882,202.1400,-0.8048,203.0800,-0.3435,204.9300,0.5643,204.6800,0.4417,207.1000,1.6292,206.3500,1.2612,205.6700,0.9275,206.8900,1.5262,207.8200,1.9825,207.6400,1.8942
2025-09-14,BTC,EDT,115840.0000,0,115289.0000,-0.4757,115538.0000,-0.2607,115609.0000,-0.1994,115448.0000,-0.3384,115685.0000,-0.1338,115852.0000,0.0104,116118.0000,0.2400,116065.0000,0.1942,115316.0000,-0.4523,115118.0000,-0.6233,115280.0000,-0.4834,115416.0000,-0.3660,115478.0000,-0.3125
2025-09-14,SOL,EDT,245.2700,0,243.8100,-0.5953,245.1600,-0.0448,247.9300,1.0845,244.6700,-0.2446,242.5000,-1.1294,242.4500,-1.1498,244.1500,-0.4566,242.9800,-0.9337,239.7500,-2.2506,240.6900,-1.8673,241.1200,-1.6920,242.1000,-1.2925,242.6500,-1.0682
2025-09-21,BTC,EDT,115742.0000,0,115594.0000,-0.1279,115390.0000,-0.3041,115697.0000,-0.0389,115600.0000,-0.1227,115554.0000,-0.1624,115382.0000,-0.3110,115469.0000,-0.2359,115597.0000,-0.1253,115275.0000,-0.4035,114457.0000,-1.1102,114341.0000,-1.2105,114268.0000,-1.2735,114707.0000,-0.8942
2025-09-21,SOL,EDT,239.4900,0,237.9100,-0.6597,237.0400,-1.0230,237.8300,-0.6931,238.1200,-0.5720,237.9900,-0.6263,237.6400,-0.7725,237.2800,-0.9228,237.9300,-0.6514,236.1600,-1.3905,232.2700,-3.0147,233.1800,-2.6348,231.7000,-3.2527,232.8100,-2.7893
2025-09-28,BTC,EDT,109356.0000,0,110067.0000,0.6502,110243.0000,0.8111,110235.0000,0.8038,110305.0000,0.8678,110357.0000,0.9154,110841.0000,1.3580,110873.0000,1.3872,111963.0000,2.3840,112203.0000,2.6034,112296.0000,2.6885,111886.0000,2.3135,111794.0000,2.2294,111904.0000,2.3300
2025-09-28,SOL,EDT,198.4300,0,203.4300,2.5198,204.0500,2.8322,205.0500,3.3362,206.1300,3.8805,206.1800,3.9057,206.8200,4.2282,207.2300,4.4348,209.5500,5.6040,210.8300,6.2491,209.1900,5.4226,209.4100,5.5334,209.7000,5.6796,210.2700,5.9668
2025-10-05,BTC,EDT,123113.0000,0,122841.0000,-0.2209,123298.0000,0.1503,123102.0000,-0.0089,123045.0000,-0.0552,122629.0000,-0.3931,122730.0000,-0.3111,122767.0000,-0.2810,123272.0000,0.1291,123519.0000,0.3298,123404.0000,0.2364,124089.0000,0.7928,124175.0000,0.8626,123903.0000,0.6417
2025-10-05,SOL,EDT,231.3200,0,230.1300,-0.5144,231.0800,-0.1038,229.6800,-0.7090,228.9800,-1.0116,227.0700,-1.8373,227.9900,-1.4396,228.7100,-1.1283,228.3100,-1.3012,228.5600,-1.1932,228.6900,-1.1370,231.4200,0.0432,232.3700,0.4539,232.2300,0.3934
2025-10-12,BTC,EDT,111841.0000,0,113261.0000,1.2697,114170.0000,2.0824,113897.0000,1.8383,113970.0000,1.9036,114435.0000,2.3194,115013.0000,2.8362,115005.0000,2.8290,115336.0000,3.1250,115089.0000,2.9041,115407.0000,3.1885,115824.0000,3.5613,115438.0000,3.2162,114941.0000,2.7718
2025-10-12,SOL,EDT,181.7000,0,191.2300,5.2449,193.8100,6.6648,194.6100,7.1051,193.8400,6.6813,195.8600,7.7931,196.8000,8.3104,195.6400,7.6720,197.4300,8.6571,196.9900,8.4150,197.2100,8.5360,199.4200,9.7523,196.4600,8.1233,194.8200,7.2207
